iter	RMSE
0	0.2980508676
1	0.2909621882
2	0.2844994236
3	0.278235145
4	0.2723973325
5	0.2672182452
6	0.2620913268
7	0.257456892
8	0.2528336253
9	0.249130699
10	0.2452041447
11	0.2415815459
12	0.2382142246
13	0.2354521579
14	0.2325909857
15	0.2297108817
16	0.2270891968
17	0.2246938018
18	0.2225604256
19	0.2203457995
20	0.2174344951
21	0.2147618974
22	0.2123141138
23	0.2097475259
24	0.2073641844
25	0.2053852353
26	0.2035220613
27	0.2016816445
28	0.1999452516
29	0.1987235106
30	0.197238371
31	0.1958192077
32	0.1945185767
33	0.1932154383
34	0.1920098308
35	0.1910639585
36	0.1898827194
37	0.1890154386
38	0.1880439273
39	0.1872833811
40	0.1863824756
41	0.1855034438
42	0.1847918523
43	0.1840091796
44	0.1833943225
45	0.1827140048
46	0.1819384452
47	0.1813746669
48	0.1808465974
49	0.1802850047
50	0.1797962491
51	0.179257773
52	0.1787830938
53	0.1783634615
54	0.1778156246
55	0.1773483921
56	0.1769674535
57	0.1764513859
58	0.1760027644
59	0.1756009671
60	0.175250168
61	0.174837744
62	0.17440762
63	0.1740445399
64	0.1737668945
65	0.1735141386
66	0.1731001517
67	0.1728679726
68	0.1724847168
69	0.1721397042
70	0.1717737593
71	0.1714451882
72	0.1711768697
73	0.1709433499
74	0.1706411465
75	0.1703338668
76	0.1700531135
77	0.1696258915
78	0.1694278677
79	0.16906065
80	0.1688404714
81	0.1685440374
82	0.1682202321
83	0.1679840824
84	0.1676734897
85	0.1674413875
86	0.1672712158
87	0.1670088923
88	0.1666640024
89	0.166443505
90	0.1662537488
91	0.1660805156
92	0.1658039066
93	0.1655730451
94	0.1653581622
95	0.1652438891
96	0.1651005257
97	0.1649220563
98	0.1648235555
99	0.1647082149
100	0.1645337104
101	0.1642720221
102	0.164076205
103	0.1638496087
104	0.1635397508
105	0.163389182
106	0.1632210758
107	0.1630236212
108	0.1629060154
109	0.1626107504
110	0.1625266496
111	0.1623255731
112	0.1621730336
113	0.1620594604
114	0.1619239193
115	0.1616603657
116	0.1614521303
117	0.1612615254
118	0.1611523473
119	0.1610287616
120	0.160844425
