,geocode_query,lat,lon
113,"Астана, Нажимеденов 30/1",51.1106398,71.5277587
114,"Астана, ​Улица А 52, 2 10/2",51.1089195,71.5104632
115,"Астана, Акмешит 1",51.1164708,71.4224621
116,"Алматы, Тлендиева",43.2357273,76.8751749
117,"Алматы, Розыбакиева 320",43.2082321,76.8958046
118,"Алматы, Алтын Орда",43.2322717,76.7727373
119,"Алматы, Сейфуллина 580",43.227937,76.9392075
120,"Шымкент, мкр Шымсити, Байдибек би стр. 127/7",,
121,"Алматы, Муратбаева 14",43.2666331,76.9174813
122,"Алматы, ул. Кенесары хана 54/28",43.1710437,76.8726738
123,"Астана, мкр Комсомольский, Бухар Жырау 42",,
124,"Астана, ул. Ахмета Байтурсынова 1",51.1173344,71.5234369
125,"Астана, Байтурсынова 12",51.1234897,71.4792534
126,"Алматы, Жунисова 10 3",43.2216484,76.7888178
127,"Астана, Турар Рыскулов",42.9171878,72.7263831
128,"Шымкент, мкр Шымсити, ​Туркия 1280/2",,
129,"Астана, Аспара 2б",51.2019175,71.3866718
130,"Астана, Мамбетова 10",51.1605827,71.4250977
131,"Алматы, Тараз 8/1",43.3107502,76.9994586
132,"Алматы, мкр №3",,
133,"Алматы, Ади Шарипова 32",43.2558709,76.9222413
134,"Астана, Байтұрсынова 61",51.1255616,71.4657048
135,"Астана, Иманова 44",51.1613122,71.4566974
136,"Астана, Туран 52/2, 52/3",,
137,"Алматы, мкр №10",,
138,"Шымкент, мкр Туран 56",,
139,"Алматы, Просп. Назарбаева 28",43.2711002,76.9454563
140,"Алматы, Богенбай батыра 272",43.2546759,76.9672608
141,"Алматы, Жарокова 217Б",43.2237983,76.8996967
142,"Астана, Улы Дала 38а",50.2590518,57.1038533
143,"Астана, Казыбек би 41",51.095628,71.3812231
144,"Алматы, мкр Нурлытау (Энергетик), Роза Жаманова 118",,
145,"Алматы, мкр Самал-3, Хаджи Мукана 49",,
146,"Астана, Толстого 17/1",51.1756577,71.4534499
147,"Алматы, мкр Нуркент, Турара Рыскулова 2Б/1",,
148,"Алматы, Есенова 160/3",43.2883103,76.9499071
149,"Астана, Туркестан 10",51.110644,71.4273513
150,"Астана, ​Улица Шамши Калдаяков, 46 46",51.1102844,71.5119117
151,"Астана, Абылайхан 47",,
152,"Астана, Жумекен Нажимеденов 33",51.1106398,71.5277587
153,"Алматы, Райымбека 481/1",43.2484495,76.8399115
154,"Астана, Бейбарыс Султан 12",51.1721386,71.3676718
155,"Шымкент, 16-й микрорайон, 18 микрорайон 73А",,
156,"Астана, Московская38/1 З8/1",,
157,"Астана, М. Тынышбайулы 5",,
158,"Алматы, Райымбека 206 А",43.2622215,76.897641
159,"Алматы, ул. Жунисова 14/12",43.225519,76.786947
160,"Алматы, Кабанбай Батыра",43.2477828,76.9335203
161,"Шымкент, мкр Акжайык, Байдибек би 113/1",,
162,"Астана, мкр Уркер, Е-899 5",,
163,"Астана, Сыганак 2а",51.1308062,71.3631259
164,"Астана, Толе би 22",51.2560062,51.4394543
165,"Алматы, Сейфуллина 467г",43.2680087,76.9293536
166,"Астана, Ташенова 17/1",51.1534848,71.4464679
167,"Алматы, Тынышбаева 3",43.3389976,76.9501031
168,"Шымкент, Куншыгыс 21",42.337705,69.6465234
169,"Астана, мкр Комсомольский, Мангилик Ел 53",,
170,"Алматы, Розыбакиева 250б",43.2172745,76.8938896
171,"Астана, Анет баба",51.1305911,71.382701
172,"Шымкент, 189 квартал 25/1",42.3424726,69.6828806
173,"Алматы, Розыбакиева 197/2",43.2170253,76.8926006
174,"Алматы, Гагарина",43.2387466,76.8958696
175,"Алматы, Абиша Кекилбайулы 264",43.2032016,76.8904913
176,"Астана, мкр Комсомольский 28 стр",,
177,"Астана, Шамши Калдаяков 8",51.117353,71.4623871
178,"Алматы, мкр Зердели",,
179,"Астана, ул. Жошы хан 12/3",51.1079256,71.4443257
180,"Алматы, Розыбакиева 58",43.5989995,78.2698825
181,"Астана, М. Маметовой 2/1",,
182,"Шымкент, К.Толеметова 113/115",42.278997,69.6502703
183,"Шымкент, 12-й микрорайон, 12-й микрорайон",,
184,"Шымкент, мкр Тараз, Байтерекова 85",,
185,"Алматы, Мкр. Айнабулак-2 85Б",,
186,"Алматы, мкр Аксай-2 2",,
187,"Алматы, мкр Нуркент 73",,
188,"Астана, Абая 63",51.1706516,71.440889
189,"Астана, Туран 57/7",51.1072422,71.3948651
190,"Астана, Просп. Тауелсиздик 25/1",51.1238641,71.4686669
191,"Алматы, КлараЦеткина 74",,
192,"Шымкент, просп. Кабанбай батыра 10Б",42.3069729,69.6018289
193,"Алматы, мкр Шугыла, Мкр. Шугыла 340/3",,
194,"Алматы, Гагарина 310",43.2506808,76.8933046
195,"Алматы, Егизбаева 9/1",43.2321249,76.8836582
