iter	RMSE
253	0.1484671154
254	0.1483223499
255	0.1481848106
256	0.1480413676
257	0.1479183546
258	0.1477606349
259	0.147634279
260	0.1475849474
261	0.1474858471
262	0.1473228773
263	0.1472109205
264	0.1471574991
265	0.1470844487
266	0.1469889178
267	0.1467778293
268	0.1466567846
269	0.1466250881
270	0.1466011594
271	0.1464860204
272	0.1464153449
273	0.1463404634
274	0.1462619485
275	0.1461684394
276	0.1461037331
277	0.1460269998
278	0.1460009244
279	0.1459501241
280	0.1458407399
281	0.1457863267
282	0.1457272178
283	0.1456550343
284	0.1454747196
285	0.1454533985
286	0.14541186
287	0.1453584691
288	0.1453167545
289	0.145249059
290	0.1451398468
291	0.145100628
292	0.1449174407
293	0.1448580293
294	0.1448469589
295	0.1447310709
296	0.1447089128
297	0.1446160116
298	0.1444432889
299	0.1443335558
300	0.1442271702
301	0.1441939947
302	0.1441381017
303	0.1440481794
304	0.1438428124
305	0.1437643678
306	0.1437323014
307	0.1436546862
308	0.1435639312
309	0.143469636
310	0.1433439008
311	0.1432877777
312	0.1431788519
313	0.1430340427
314	0.1429757885
315	0.1427703026
316	0.1427108322
317	0.1425520298
318	0.1424614177
319	0.1423772853
320	0.1422305776
321	0.142152076
322	0.1420044868
323	0.1419408224
324	0.1418747384
325	0.1417617334
326	0.141734216
327	0.1415984865
328	0.1415092407
329	0.1414370646
330	0.141352307
331	0.1412807755
332	0.1412025312
333	0.1411099888
334	0.1410345545
335	0.1409992385
336	0.1409254456
337	0.1408145734
338	0.140682152
339	0.1406378766
340	0.1405511896
341	0.1405075975
342	0.1404582322
343	0.1404220891
344	0.1404049591
345	0.1403558178
346	0.1402970516
347	0.1401803387
348	0.1401069675
349	0.1400976746
350	0.1400485698
351	0.1398956487
352	0.1398471108
353	0.1397963093
354	0.1397050951
355	0.1396266502
356	0.1395966381
357	0.1395010478
358	0.1394940241
359	0.1394575641
360	0.1394260294
361	0.1393633758
362	0.1392063303
363	0.1391819654
364	0.1391289564
365	0.1390263159
366	0.1389805218
367	0.1389292834
368	0.1388280033
369	0.1387709343
370	0.1387647269
371	0.1386894458
372	0.1385624089
373	0.1384960963
374	0.1384471255
375	0.1384223828
376	0.1384153934
377	0.1382900963
378	0.1381572322
379	0.1381342058
380	0.1381097945
381	0.1380458174
382	0.1379959102
383	0.1379340053
384	0.137838857
385	0.137761549
386	0.1376778791
387	0.1375869051
388	0.1375138508
389	0.1375047833
390	0.1374204003
391	0.1373592984
392	0.1372856267
393	0.1371823513
394	0.1370876741
395	0.1370211518
396	0.1369169144
397	0.1368617658
398	0.1368050961
399	0.1367150721
400	0.1366860795
401	0.1366744343
402	0.1365924011
403	0.1364929865
404	0.136425923
405	0.1363943847
406	0.1363537732
407	0.1362374726
408	0.1361902263
409	0.1361406668
410	0.1360058471
411	0.135958213
412	0.1359069436
413	0.1358897243
414	0.1358822789
415	0.1358221488
416	0.1357765135
417	0.1356705407
418	0.135621828
419	0.1356131676
420	0.1355545882
421	0.1354580096
422	0.1353935868
423	0.1353084953
424	0.1352508919
425	0.135176616
426	0.1350954437
427	0.1350923603
428	0.1349321522
429	0.1347491998
430	0.1346583033
431	0.134613071
432	0.1344992785
433	0.1344002486
434	0.1343237548
435	0.1342969007
436	0.1342254775
437	0.1341281471
438	0.1340538013
439	0.1340145581
440	0.1339856886
441	0.1339365023
442	0.133830968
443	0.1337707475
444	0.1336434333
445	0.1335551925
446	0.1334514412
447	0.1334287833
448	0.1333650886
449	0.1332630289
450	0.1331664366
451	0.1331130207
452	0.1330320636
453	0.1329511522
454	0.1328799321
455	0.1328570464
456	0.1328037399
457	0.1327264059
458	0.1326701902
459	0.1326202467
460	0.1325579393
461	0.1325520677
462	0.1325266015
463	0.1324671583
464	0.1324648231
465	0.132458491
466	0.1323601169
467	0.1323313011
468	0.1322531764
469	0.1321985365
470	0.1321758966
471	0.1321476371
472	0.13203577
473	0.1320097995
474	0.131997935
475	0.131995041
476	0.1319905615
477	0.1319266152
478	0.1319094006
479	0.1318961044
480	0.1318643475
481	0.1318601695
482	0.1317880953
483	0.131752468
484	0.1316994621
485	0.1315814806
486	0.1315700244
487	0.1315028762
488	0.1314571446
