feature,importance
district,18.662386111362874
residential_complex,10.605835330702696
ceiling_height,9.709314737260549
house_age,5.7064368769792955
area,5.547250408756653
city,4.607501750434995
total_floors,3.842843345812926
floor,3.0587559880662147
condition,2.152647813480843
house_type,1.6086903105726313
tfidf_бизнес,1.1764967321552424
floor_ratio,0.9661492237519098
tfidf_техника,0.9205595166336158
tfidf_ремонт,0.9038204470993916
tfidf_мебель,0.7226078806556073
bathroom,0.6249692632602258
tfidf_сантехника,0.5232828495583889
tfidf_из,0.48162838275857467
tfidf_техникой,0.4809175795436992
tfidf_на,0.46011706553103215
tfidf_квартира,0.4456564303616718
tfidf_полностью,0.4274191225839245
tfidf_школа,0.39493391268787154
tfidf_по,0.3936254329340418
tfidf_для,0.3380065090035534
tfidf_кухня новая,0.33051041776347245
tfidf_дом,0.3291697410635372
tfidf_встроенная,0.3119884422587615
tfidf_просторная,0.3048563824891308
tfidf_цена,0.3034772952100268
tfidf_жк,0.3031777204288136
tfidf_кондиционер,0.29905216381943267
tfidf_кухня,0.2984769593589341
tfidf_торг,0.29816861831818003
rooms,0.2763864050138681
tfidf_bi,0.2733277063509815
tfidf_рядом,0.26846456292737114
tfidf_квартире,0.26020539636278667
tfidf_доме,0.2587884631927772
tfidf_от,0.25801900050265075
tfidf_ремонтом,0.25649076710509283
tfidf_города,0.2561778669037036
tfidf_звоните,0.2560434932913545
tfidf_не,0.25060391518121994
tfidf_двор,0.2425927969666351
tfidf_для себя,0.23955114390952925
tfidf_пластиковые,0.23462352660747213
tfidf_окна,0.2292781362337593
tfidf_за,0.2187435057240085
tfidf_горы,0.2165424183288692
tfidf_до,0.21399123967952757
tfidf_жизни,0.21096592352089127
tfidf_комфорта,0.20773743293932675
tfidf_group,0.2014807863323988
tfidf_алматы,0.2002156962834661
tfidf_отделка,0.1928096629111112
tfidf_двор кондиционер,0.1859412866569827
tfidf_тихий,0.18253198801378984
tfidf_самых,0.18099962635192318
tfidf_документы,0.17789756510988605
tfidf_мебелью,0.16575824547106308
tfidf_где,0.16451429310416868
tfidf_архитектура,0.16150084798255254
tfidf_жилой,0.16085684954936547
tfidf_дизайн,0.16011579937210427
tfidf_площадь,0.15989861401257638
tfidf_комнаты,0.15630099011361445
tfidf_продается,0.15474649213821734
tfidf_дома,0.15204967218354956
tfidf_вид,0.15081357572366766
tfidf_под,0.15077519675230086
tfidf_район,0.14906042505499803
tfidf_кухня студия,0.14562369160995192
tfidf_неугловая,0.14499087894420906
tfidf_комнатная квартира,0.14447997522601724
tfidf_современный,0.14430775674100918
tfidf_пластиковые окна,0.141985921020517
tfidf_окна неугловая,0.1411784502647006
tfidf_детские,0.13770714564814823
tfidf_только,0.13721790537542464
tfidf_это,0.13679171953918692
tfidf_новая,0.13461881156686173
tfidf_районе,0.1323233642515468
tfidf_или,0.1312040292623474
tfidf_квартиру,0.13059287773996847
tfidf_можно,0.1293547576267256
tfidf_инфраструктура,0.12784873999028024
is_first_floor,0.12760118761448727
tfidf_квартиры,0.12754454596744358
tfidf_класса,0.1253904880130826
tfidf_светлая,0.12430639737529062
tfidf_зоны,0.12355277208537335
tfidf_кафе,0.12137121533763512
tfidf_ул,0.12122321894865912
tfidf_встроенная кухня,0.1206091388559909
tfidf_отдыха,0.12053143797334188
tfidf_комфорт,0.11856118245420103
tfidf_планировка,0.11831552175905949
tfidf_удобное,0.11663209271416493
tfidf_из самых,0.11604645953164429
tfidf_готова,0.11543066799462659
tfidf_очень,0.11422799211361177
tfidf_комнатная,0.11312190562069571
tfidf_кладовка,0.10954846939227399
tfidf_mega,0.10929184420761835
tfidf_000,0.10891141058649235
tfidf_кладовка счётчики,0.10523264621412076
tfidf_транспортная развязка,0.10457248679205358
tfidf_зона,0.10455181642786932
tfidf_безопасность,0.10444084750057236
tfidf_комплекса,0.1042625695742125
tfidf_отличный,0.10240344030368051
tfidf_этаж,0.10216013439651614
tfidf_находится,0.10162436018953418
tfidf_есть,0.1010913740219533
tfidf_ощущение,0.10003455218633855
tfidf_все,0.0994928990794192
tfidf_имеется,0.09753134047912308
tfidf_тихий двор,0.09746937046670862
