feature,importance
district,16.43803118369501
residential_complex,10.2432100330744
ceiling_height,9.920974313669122
house_age,6.0067314916721415
area,5.646381675027098
city,5.084085261949746
total_floors,4.740103270011185
floor,4.006846253643618
condition,2.617135410102936
house_type,2.32266791670933
bathroom,1.110173737665653
tfidf_ремонт,1.085319630048186
floor_ratio,1.0194379403932845
tfidf_техника,0.9745256612443612
tfidf_на,0.8770182111245841
tfidf_мебель,0.8667907326498928
tfidf_из,0.8282884154711215
tfidf_квартира,0.7660106265097651
tfidf_сантехника,0.6785671817157839
tfidf_класса,0.675203185953347
tfidf_по,0.6656792620410817
tfidf_полностью,0.6230731478559907
rooms,0.5633965028050754
tfidf_кухня,0.5420752104068827
tfidf_от,0.5327450384736511
tfidf_дом,0.5185661730074804
tfidf_комфорт,0.5145446344186401
tfidf_рядом,0.49469121778677505
tfidf_для,0.4939177363867331
tfidf_кондиционер,0.4935293558812559
tfidf_пластиковые,0.4807234285419283
tfidf_жк,0.48010441700311485
tfidf_новая,0.4779955523646315
tfidf_квартиры,0.4227364621299119
tfidf_школа,0.4169777039438513
tfidf_район,0.41373244010928767
tfidf_двор,0.4095368164323793
tfidf_это,0.40314289910705825
tfidf_встроенная,0.3993072235055388
tfidf_жизни,0.3985069706482447
tfidf_доме,0.3789951220854414
tfidf_не,0.378503290524568
tfidf_города,0.3720978479049155
tfidf_звоните,0.3694843273611999
tfidf_комнатная,0.36518688724430376
tfidf_окна,0.3590078082666612
tfidf_просторная,0.3425717797624902
tfidf_квартире,0.3016282871607305
tfidf_тихий,0.3010512791983547
tfidf_до,0.29489033638572354
tfidf_можно,0.29449747405116916
tfidf_комнаты,0.29170220360573174
tfidf_улучшенная,0.2840640261357722
is_last_floor,0.27238967056255736
tfidf_квартиру,0.2658003800025632
tfidf_паркинг,0.25443684123050725
tfidf_жилой,0.24835440429036157
tfidf_территория,0.24726943626947506
tfidf_продается,0.24490553908951362
tfidf_счётчики,0.2414167371075826
tfidf_локация,0.23583215744122105
tfidf_инфраструктура,0.23219002730242874
tfidf_под,0.22947941025020763
tfidf_площадь,0.2277609721430159
tfidf_документы,0.2272519205094962
tfidf_вариант,0.22251322927038317
tfidf_без,0.2222719282068752
tfidf_этаж,0.22016564830865423
tfidf_неугловая,0.21439650871796884
tfidf_светлая,0.2127607729545761
tfidf_школы,0.21226975915957594
tfidf_отдыха,0.20543633095981587
tfidf_планировка,0.20422844847882565
tfidf_зоны,0.2006296840791292
tfidf_м²,0.19356947181462622
tfidf_изолированы,0.19274207108038025
tfidf_районе,0.19221029893074745
tfidf_семьи,0.18316031987321924
tfidf_дома,0.1816398438964611
tfidf_студия,0.1790341867310189
tfidf_или,0.17846865997981884
tfidf_преимущества,0.17563869294332463
tfidf_есть,0.16926279564531832
tfidf_ипотеку,0.16728281138398904
tfidf_как,0.15177492348044935
tfidf_комфортной,0.14887194339207205
tfidf_все,0.14842772410413343
tfidf_отличная,0.1456588969582138
tfidf_доступности,0.14555098417428955
tfidf_шаговой,0.1449604294095575
tfidf_что,0.13995487491013295
tfidf_проживания,0.13780949419071312
tfidf_трц,0.13277423998066884
tfidf_сад,0.12234090587778527
tfidf_аптеки,0.1217360200934243
tfidf_уютная,0.12062572578245943
tfidf_детские,0.11654775338166343
tfidf_так,0.11362679152647202
tfidf_современный,0.11072263158966515
tfidf_сады,0.10705091710399293
tfidf_очень,0.10655990529142494
tfidf_закрытый,0.10013989015013504
tfidf_транспортная,0.09825609742616753
tfidf_всё,0.09783584209804319
tfidf_отличный,0.09196412714285777
tfidf_во,0.0883096401538443
tfidf_продаётся,0.08769128397030788
tfidf_парк,0.08626598244271938
tfidf_магазины,0.08392168611811218
tfidf_комплекс,0.08227099115220224
tfidf_время,0.08037855959954888
is_first_floor,0.07947026469907037
tfidf_удобная,0.0778383633511053
tfidf_площадки,0.052135712796418106
tfidf_необходимое,0.037593444171460266
