feature,importance
district,19.051907931882607
residential_complex,12.42575882597607
ceiling_height,11.432674009308235
area,9.010665298843897
house_age,8.838044447008308
total_floors,7.486795379816231
city,5.373857580345857
description_len,5.200858191137591
condition,5.095878369324891
floor,4.548142443498505
bathroom,3.439193936538801
house_type,3.2883131863610484
floor_ratio,2.735568957411049
rooms,1.545160902519171
is_last_floor,0.3175883671689457
is_first_floor,0.2095921728585819
