feature,importance
district,22.316114876702503
residential_complex,10.47465550247717
house_age,10.307311519445358
ceiling_height,10.19048068895808
area,8.329005981150267
condition,7.662945478617859
total_floors,6.354588739570602
description_len,5.774598317980395
bathroom,4.86038735423777
house_type,4.798377077957369
floor_ratio,3.574646473087893
floor,2.4049573286442243
rooms,2.0408664545296573
is_last_floor,0.5675280007463942
is_first_floor,0.34353620589451694
city,0.0
